,Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
7,2021.0,Female,22.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Good,4.0,2.0,2.0,2.0,100.0,Web development skill(Frontend),1.0,Networking,3.8,3.64,35,False,32500.0
11,2021.0,Male,22.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,Yes,No,Good,4.0,3.5,2.0,2.0,90.0,Programming,1.0,Data Science,3.4,3.53,35,False,20000.0
15,2021.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Good,4.0,2.0,1.0,1.0,95.0,Programming,3.0,Machine Learning / Deep Learning,3.93,3.89,35,False,30000.0
18,2021.0,Male,21.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Family,No,No,Average,4.0,1.0,2.0,3.0,95.0,Programming,1.0,Artificial Intelligence,3.1,3.5,35,False,25000.0
20,2021.0,Female,21.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Good,4.0,3.0,2.0,2.0,96.0,Web development skill(Frontend),1.0,Web Development,3.81,3.65,34,False,30000.0
24,2021.0,Male,21.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Advance,No,No,Yes,Single,Yes,Bachelor,Yes,No,Average,4.0,1.5,1.5,1.0,85.0,Content creation,1.0,Data Science,3.89,3.81,35,False,35000.0
25,2021.0,Female,20.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Excellent,4.0,3.0,2.0,1.0,97.0,Programming,2.0,Software,3.79,3.82,39,False,50000.0
27,2021.0,Male,19.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Family,Yes,No,Good,4.0,2.5,2.0,4.0,100.0,Programming,3.0,Artificial Intelligence,3.55,3.48,35,False,40000.0
28,2021.0,Male,21.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,Yes,No,Good,4.0,2.0,1.0,2.0,95.0,"Programming, Software Development",2.0,Data Science,3.28,3.32,35,False,8000.0
48,2021.0,Female,20.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Good,4.0,2.5,2.0,3.0,99.0,Programming,1.0,Software,3.78,3.88,35,False,200000.0
